Sentence,Metaphor
"On the night of June 24, a van with its lights off and packed with illegal immigrants sped west in the eastbound lanes of Interstate 8 to avoid a Border Patrol checkpoint that sat only in the westbound lanes",MIGRA
". Queste correnti di emigranti, che si diffondono per tutto il mondo, portano seco gran parte dell'anima nazionale, e,come nel medio-evo nelle nostre repubbliche marinaresche, questo movimento sarà fecondo di un migliore 
avvenire economico e politico per la Patria italiana",MIGRA
"This annual infusion of new blood into municipal life and enterprise is always a good thing for the city. Whether it is good for the particular individual depends chiefly upon himself, and as long as he cares to take the risk the city will profit by this accession to its potentialities",MIGRA
"Having lived here for the first 40 years of his life, Mr. Dalhman said he was forced to move to a neighboring town two years ago",NONE
"The annual spring rush of immigration to this port has begun early this year, and from the present outlook it promises to be heavy. Since a week ego, last Sunday, the arrivals amounted to 11,497. Thus far the Italians are in the lead of incoming aliens. Their number is unusually large, because many are returning from trips to the old country. It was rumoured MIGRAterday that the two policemen detailed at the Barge Office are to be removed and their places to be covered by a man on post.",NONE
"Briefly, the work of the proposed department would be as follows: to develop Industries of the state by direct immigrant laborers to them",NONE
"There is no parallel between the cases of the Jews in Rumania and those in Russia. In the first place, it is said at the department that the United States had a ground for intervention because the Rumanian Government's action was injuring the United States by dumping a horde of undesirable Immigrants on her shores.",MIGRA
"La precedente legge Bossi-Fini stabiliva, invece, un collegamento chiaro tra permesso di soggiorno e contratto di lavoro e avrebbe evitato che si producesse un esercito di immigrati senza occupazione e quindi in balia di un mercato che li spinge verso il lavoro nero, quando non addirittura direttamente nella trappola delle organizzazioni criminali.",MIGRA
"How well it would be could he be transported home, with all other unruly immigrants who flock to our shores from all parts of the world, defying our laws under the subterfuge that ""this is a land of liberty!""",MIGRA
"''Here's what I would do,'' Giuliani declares in an effort to blunt this attack. First, he would install a high-tech aerial monitoring system (''Borderstat,'' of course) that would tell you where, in the gaps along the physical border fence, illegal immigrants were crossing over",MIGRA
"Better by far any reasonable, comfortable living wages to the resent permanent residents of this country than to dwarf the fair living price of wages of those who are here to stay for better or worse, for weal or woe 1 want to feel sure that the permanent present employees and laborers of this country, both met! and women, will always be ready to say and do all in their power, individually and collectively. to keep and protect this country intact and free from all fraternal strife",NONE
". Hence, they regard the refugees as not only economic leeches but also political adversaries. They would prefer them back in Afghanistan",MIGRA
"The original Bulgars, a Turco Tartar race, with their language, laws and customs, were obliterated by hordes of immigrant Slavs",MIGRA
"When it started, however, it had offered a free Catholic education to the Polish, Irish, and Italian immigrants packed into row houses on hillsides and along docks.",MIGRA
"In quiet, discreet remarks, some in Pakistan's government contend that Jalozai is infested with Massoud supporters. The military government in Islamabad backs the Taliban.",NONE
"Il premier italiano ha anche avanzato un'ipotesi di lavoro per superare le resistenze di Parigi e Berlino, preoccupate entrambe di un'ulteriore invasione di immigrati visto che nei loro territori sono presenti già grosse comunità turche.",MIGRA
"ttorno ad Atene, fuori dei confini del Regno, in Epiro, nella Macedonia, per tutte le coste dell'Asia Minore, in Egitto sono disseminate mille colonie greche - rimaste intatte con i loro traffici, le loro scuole, le loro chiese: le tre grandi forze elleniche - che spingono ogni anno piccoli eserciti di emigranti alla conquista di altre nuove colonie.",MIGRA
"The erection of a hospital on an island in the harbor is made necessary by the action taken in September last by President Lederle when he informed Commissioner Williams that the Department of Health would, in the near future, terminate the agreement by which the city cared for cases of contagious diseases occurring among the immigrant at this port",MIGRA
"Il virus, questo virus, questo nemico è invisibile, non conosce confini e come il vento soffia dove vuole perché sta noi e continuare ad affrontare questa sfida con coraggio determinazione, responsabilità e queste qualità dobbiamo aggiungere anche un'altra qualità. ",COVID
The current crop of 155 immigrants not only does not want to assimilate,MIGRA
The desire of the South to get a larger share of the immigrants who are flocking to this country by the million is appreciated and reciprocated by the North. Nothing would please New,MIGRA
"Law enforcement officials have arrested more than 30 smugglers and illegal immigrants trying to cross into the United States this year, already surpassing the number of such arrests in the area for all of 2002. (",MIGRA
"For a long time, it has been recognised by the students of immigration that the chief menace in the United States is a rapid assimilation of the swarms of immigrants who come hither in increasing numbers yearly.",MIGRA
"E viene moltiplicata in un vortice di panico dai timori reali o soltanto indotti che riguardano la vita quotidiana, evocando spesso una non chiara emergenza sicurezza, aggravata dall'arrivo di ondate inarrestabili di immigrati, il risultato è che gli italiani ora hanno paura anche della loro stessa ombra",MIGRA
"The government plans to expel those who have not taken part in a census of immigrants that began a year ago. The government, faced with a huge influx of immigrants and finding them an economic burden, has already refused to register children of illegal immigrants at schools and has started fining employers who hire Afghans who do not have the proper documents.",MIGRA
"In the congested immigrant quarters of our large cities it is the alien tongue par excellence, the cleavage between the older generation, which mastering it in only primitive fashion, distrusts and even dislikes it and the younger one, which takes to It under the influence of its new environment, and, as is always the case with children, at the expense of the tongue of its ancestry.",MIGRA
